,date,time,c-ip,cs-username,s-ip,s-port,cs-method,cs-uri-stem,sc-status,sc-win32-status,sc-substatus,time-taken,x-session,x-fullpath
892,2021-01-06,00:42:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
893,2021-01-06,00:42:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,PASV,-,227,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
894,2021-01-06,00:42:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,59344,DataChannelOpened,-,-,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
895,2021-01-06,00:42:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,59344,DataChannelClosed,-,-,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
896,2021-01-06,00:42:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,LIST,-a,226,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,/ftp6001/Send/ServerLink
897,2021-01-06,00:42:09,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,CWD,Send,250,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001/Send
898,2021-01-06,00:42:09,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,XPWD,-,257,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
899,2021-01-06,00:42:09,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
900,2021-01-06,00:42:09,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,PORT,"172,30,5,84,199,135",200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
901,2021-01-06,00:42:09,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelOpened,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
902,2021-01-06,00:42:09,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelClosed,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
903,2021-01-06,00:42:09,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,NLST,-alL,226,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001/Send
904,2021-01-06,00:42:12,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,CWD,ServerLink,250,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001/Send/ServerLink
905,2021-01-06,00:42:12,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,XPWD,-,257,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
906,2021-01-06,00:42:12,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
907,2021-01-06,00:42:12,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,PORT,"172,30,5,84,199,136",200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
908,2021-01-06,00:42:12,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelOpened,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
909,2021-01-06,00:42:12,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelClosed,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
910,2021-01-06,00:42:12,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,NLST,-alL,226,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001/Send/ServerLink
911,2021-01-06,00:42:39,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,REST,0,350,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
912,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
913,2021-01-06,00:42:40,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,PORT,"172,30,5,84,199,137",200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
